ProxyAddress,implementations,version,Proxy-Type,Creation Timestamp,Creation Date,Last Transaction Timestamp,Last Transaction Date,Total Transactions,Age,Active,Human Readable Age
0x1920d646574e097c2c487f69f40814f95d45bf8c,0xaf0949890da6f48af064320d36aa0a206cb5819f,33,EIP_1967_LOGIC_SLOT.csv,1613418773,2/15/21 19:52,1613418773,2/15/21 19:52,1,608302,FALSE,7.0 days 58.0 minutes
0x1920d646574e097c2c487f69f40814f95d45bf8c,0xa463c93239c8e6971f156ebc62e189b05f348968,34,EIP_1967_LOGIC_SLOT.csv,1614027075,2/22/21 20:51,1614027075,2/22/21 20:51,1,12074,FALSE,201.0 minutes
0x1920d646574e097c2c487f69f40814f95d45bf8c,0xc2ef5c34a00e003b9c4e1b89c049360c0080f197,35,EIP_1967_LOGIC_SLOT.csv,1614039149,2/23/21 0:12,1614039149,2/23/21 0:12,1,1602,FALSE,26.0 minutes
0x1920d646574e097c2c487f69f40814f95d45bf8c,0xfab028e2a413e136f4537a691f389ceebd75bb18,36,EIP_1967_LOGIC_SLOT.csv,1614040751,2/23/21 0:39,1614040751,2/23/21 0:39,1,189774,FALSE,2.0 days 282.0 minutes
0x1920d646574e097c2c487f69f40814f95d45bf8c,0xa3a5d08535d2ae5ea9dc202bd8cdde3f9f3aec64,37,EIP_1967_LOGIC_SLOT.csv,1614230525,2/25/21 5:22,1614230525,2/25/21 5:22,1,919995,FALSE,10.0 days 933.0 minutes
0x1920d646574e097c2c487f69f40814f95d45bf8c,0xf6b44397c8756ed95ff138554e5d6349c62bf885,38,EIP_1967_LOGIC_SLOT.csv,1615150520,3/7/21 20:55,1615150520,3/7/21 20:55,1,412445,FALSE,4.0 days 1114.0 minutes
0x1920d646574e097c2c487f69f40814f95d45bf8c,0xcc6a1a30b6df40153434b9754518ae85f4d1b440,39,EIP_1967_LOGIC_SLOT.csv,1615562965,3/12/21 15:29,1615562965,3/12/21 15:29,1,1400569,FALSE,16.0 days 302.0 minutes
0x1920d646574e097c2c487f69f40814f95d45bf8c,0x6b174478eb83ea35f70eca716b91bebd37c13154,40,EIP_1967_LOGIC_SLOT.csv,1616963534,3/28/21 20:32,1616963534,3/28/21 20:32,1,5407,FALSE,90.0 minutes
0x1920d646574e097c2c487f69f40814f95d45bf8c,0x6be387f2f1c6d674fd62f7d4619395cc6aacfe32,41,EIP_1967_LOGIC_SLOT.csv,1616968941,3/28/21 22:02,1616968941,3/28/21 22:02,1,1015079,FALSE,11.0 days 1077.0 minutes
0x1920d646574e097c2c487f69f40814f95d45bf8c,0xd4c39159587621ba7b05237b52d5874be1693725,42,EIP_1967_LOGIC_SLOT.csv,1617984020,4/9/21 16:00,1617984020,4/9/21 16:00,1,-1015079,TRUE,362.0 minutes
0x1920d646574e097c2c487f69f40814f95d45bf8c,0x6be387f2f1c6d674fd62f7d4619395cc6aacfe32,43,EIP_1967_LOGIC_SLOT.csv,1616968941,3/28/21 22:02,1616968941,3/28/21 22:02,1,6463777,FALSE,74.0 days 1169.0 minutes
0x1920d646574e097c2c487f69f40814f95d45bf8c,0x9dcfbf205d734c0cb3a2450bb7c0b261cca4e73e,44,EIP_1967_LOGIC_SLOT.csv,1623432718,6/11/21 17:31,1623432718,6/11/21 17:31,1,4421454,FALSE,51.0 days 250.0 minutes
0x1920d646574e097c2c487f69f40814f95d45bf8c,0x9f679dda2a601977a3fec42598092e4e0a2c2099,45,EIP_1967_LOGIC_SLOT.csv,1627854172,8/1/21 21:42,1627854172,8/1/21 21:42,1,1205080,FALSE,13.0 days 1364.0 minutes
0x1920d646574e097c2c487f69f40814f95d45bf8c,0x31aa3e21067d94d94a384c0b25d17d3181a19c6e,46,EIP_1967_LOGIC_SLOT.csv,1629059252,8/15/21 20:27,1629059252,8/15/21 20:27,1,1335883,FALSE,15.0 days 664.0 minutes
0x1920d646574e097c2c487f69f40814f95d45bf8c,0x9760d95e44e674df922c3bdd4dc4a8fbd69e800e,47,EIP_1967_LOGIC_SLOT.csv,1630395135,8/31/21 7:32,1630395135,8/31/21 7:32,1,2200546,FALSE,25.0 days 675.0 minutes
0x1920d646574e097c2c487f69f40814f95d45bf8c,0xe61546373adf66188336f0c1da9e02581d4c84d8,48,EIP_1967_LOGIC_SLOT.csv,1632595681,9/25/21 18:48,1632595681,9/25/21 18:48,1,73949251,FALSE,855.0 days 1287.0 minutes
0x2f6081e3552b1c86ce4479b80062a1dda8ef23e3,0x61ed52a7a4324581dc2a18796c3a5e6f19612762,1,EIP_1967_LOGIC_SLOT.csv,1600700205,9/21/20 14:56,1600700205,9/21/20 14:56,1,894,FALSE,14.0 minutes
0x2f6081e3552b1c86ce4479b80062a1dda8ef23e3,0x66c36ed7225c8e8c9a1f7cc280fc7fffe0145ae3,2,EIP_1967_LOGIC_SLOT.csv,1600701099,9/21/20 15:11,1600701099,9/21/20 15:11,1,313,FALSE,5.0 minutes
0x2f6081e3552b1c86ce4479b80062a1dda8ef23e3,0x0e9092f696fb8f28d060d7c44f968e6eb11db0d1,3,EIP_1967_LOGIC_SLOT.csv,1600701412,9/21/20 15:16,1600701412,9/21/20 15:16,1,439,FALSE,7.0 minutes
0x2f6081e3552b1c86ce4479b80062a1dda8ef23e3,0xe5ce03148a135cdcbabda40af25cac193993a7d0,4,EIP_1967_LOGIC_SLOT.csv,1600701851,9/21/20 15:24,1600701851,9/21/20 15:24,1,44121,FALSE,735.0 minutes
0x2f6081e3552b1c86ce4479b80062a1dda8ef23e3,0xab9ff5ed3f47ea3b908d4fee2d9d71c7e98737b4,5,EIP_1967_LOGIC_SLOT.csv,1600745972,9/22/20 3:39,1600745972,9/22/20 3:39,1,568729,FALSE,6.0 days 838.0 minutes
