Proxy Address,Proxy Type,Year,Event Name,Event Parameters
0x8c808cf1146db783390411cd0dcdc0524fd81e7e,EIP-1967: Proxy Beacon Storage Slots,2023,BeaconUpgraded,beacon: address
0x8c808cf1146db783390411cd0dcdc0524fd81e7e,EIP-1967: Proxy Beacon Storage Slots,2023,Upgraded,implementation: address
0x35dc7ce30f504722cadb4a95eb954112566555d3,EIP-1967: Proxy Beacon Storage Slots,2023,AdminChanged,"previousAdmin: address, newAdmin: address"
0x35dc7ce30f504722cadb4a95eb954112566555d3,EIP-1967: Proxy Beacon Storage Slots,2023,BeaconUpgraded,beacon: address
0x35dc7ce30f504722cadb4a95eb954112566555d3,EIP-1967: Proxy Beacon Storage Slots,2023,Upgraded,implementation: address
0x692d716273d371c3f30334b7a8a5312ba5449a16,EIP-1967: Proxy Beacon Storage Slots,2023,AdminChanged,"previousAdmin: address, newAdmin: address"
0x692d716273d371c3f30334b7a8a5312ba5449a16,EIP-1967: Proxy Beacon Storage Slots,2023,BeaconUpgraded,beacon: address
0x692d716273d371c3f30334b7a8a5312ba5449a16,EIP-1967: Proxy Beacon Storage Slots,2023,Upgraded,implementation: address
0xe6d228db1abbe76fd347975b7b2d38e7a50d3118,EIP-1967: Proxy Beacon Storage Slots,2023,No events,No event data found in ABI
0x75da010397385a569f0a38226202ef00b43e7663,EIP-1967: Proxy Beacon Storage Slots,2023,AdminChanged,"previousAdmin: address, newAdmin: address"
0x75da010397385a569f0a38226202ef00b43e7663,EIP-1967: Proxy Beacon Storage Slots,2023,BeaconUpgraded,beacon: address
0x75da010397385a569f0a38226202ef00b43e7663,EIP-1967: Proxy Beacon Storage Slots,2023,Upgraded,implementation: address
0x19f2718420a1789a6a2b1630b2e06c26e17278d7,EIP-1967: Proxy Beacon Storage Slots,2023,AdminChanged,"previousAdmin: address, newAdmin: address"
0x19f2718420a1789a6a2b1630b2e06c26e17278d7,EIP-1967: Proxy Beacon Storage Slots,2023,BeaconUpgraded,beacon: address
0x19f2718420a1789a6a2b1630b2e06c26e17278d7,EIP-1967: Proxy Beacon Storage Slots,2023,Upgraded,implementation: address
0xf62d40e5ea4b20fbda470a21374d6540e18750ff,EIP-1967: Proxy Beacon Storage Slots,2023,AdminChanged,"previousAdmin: address, newAdmin: address"
0xf62d40e5ea4b20fbda470a21374d6540e18750ff,EIP-1967: Proxy Beacon Storage Slots,2023,BeaconUpgraded,beacon: address
0xf62d40e5ea4b20fbda470a21374d6540e18750ff,EIP-1967: Proxy Beacon Storage Slots,2023,Upgraded,implementation: address
0xb717598072bb9c9d9947b038e70e92f1a1e63fca,EIP-1967: Proxy Beacon Storage Slots,2023,No events,No event data found in ABI
0x67288b017885e7f422d9e745e129faf779b5fdb9,EIP-1967: Proxy Beacon Storage Slots,2023,No events,No event data found in ABI
0xeaeebaf087ac32a9206caae57ae8d5f9b8ea2d20,EIP-1967: Proxy Beacon Storage Slots,2023,AdminChanged,"previousAdmin: address, newAdmin: address"
0xeaeebaf087ac32a9206caae57ae8d5f9b8ea2d20,EIP-1967: Proxy Beacon Storage Slots,2023,BeaconUpgraded,beacon: address
0xeaeebaf087ac32a9206caae57ae8d5f9b8ea2d20,EIP-1967: Proxy Beacon Storage Slots,2023,Upgraded,implementation: address
0x06f90df14fc03341f6b397a84b267f9b8378897e,EIP-1967: Proxy Beacon Storage Slots,2023,AdminChanged,"previousAdmin: address, newAdmin: address"
0x06f90df14fc03341f6b397a84b267f9b8378897e,EIP-1967: Proxy Beacon Storage Slots,2023,BeaconUpgraded,beacon: address
0x06f90df14fc03341f6b397a84b267f9b8378897e,EIP-1967: Proxy Beacon Storage Slots,2023,Upgraded,implementation: address
0xcf26aefe5bfde2b03cfdf23df6a7e6328c44e28c,EIP-1967: Proxy Beacon Storage Slots,2023,AdminChanged,"previousAdmin: address, newAdmin: address"
0xcf26aefe5bfde2b03cfdf23df6a7e6328c44e28c,EIP-1967: Proxy Beacon Storage Slots,2023,BeaconUpgraded,beacon: address
0xcf26aefe5bfde2b03cfdf23df6a7e6328c44e28c,EIP-1967: Proxy Beacon Storage Slots,2023,Upgraded,implementation: address
0x676023d4f56b6128cdde58a8c8e89350737263aa,EIP-1967: Proxy Beacon Storage Slots,2023,AdminChanged,"previousAdmin: address, newAdmin: address"
0x676023d4f56b6128cdde58a8c8e89350737263aa,EIP-1967: Proxy Beacon Storage Slots,2023,BeaconUpgraded,beacon: address
0x676023d4f56b6128cdde58a8c8e89350737263aa,EIP-1967: Proxy Beacon Storage Slots,2023,Upgraded,implementation: address
0xadcc047b29769494bc0b635009c8a5b70e22d7a8,EIP-1967: Proxy Beacon Storage Slots,2023,AdminChanged,"previousAdmin: address, newAdmin: address"
0xadcc047b29769494bc0b635009c8a5b70e22d7a8,EIP-1967: Proxy Beacon Storage Slots,2023,BeaconUpgraded,beacon: address
0xadcc047b29769494bc0b635009c8a5b70e22d7a8,EIP-1967: Proxy Beacon Storage Slots,2023,Upgraded,implementation: address
0x64c2f9c7d1383a4bf759c19ac29ca00bf4610389,EIP-1967: Proxy Beacon Storage Slots,2023,AdminChanged,"previousAdmin: address, newAdmin: address"
0x64c2f9c7d1383a4bf759c19ac29ca00bf4610389,EIP-1967: Proxy Beacon Storage Slots,2023,BeaconUpgraded,beacon: address
0x64c2f9c7d1383a4bf759c19ac29ca00bf4610389,EIP-1967: Proxy Beacon Storage Slots,2023,Upgraded,implementation: address
0xcc7784dd2d79806e59634782f2f47eaf1aad1734,EIP-1967: Proxy Beacon Storage Slots,2023,AdminChanged,"previousAdmin: address, newAdmin: address"
0xcc7784dd2d79806e59634782f2f47eaf1aad1734,EIP-1967: Proxy Beacon Storage Slots,2023,BeaconUpgraded,beacon: address
0xcc7784dd2d79806e59634782f2f47eaf1aad1734,EIP-1967: Proxy Beacon Storage Slots,2023,Upgraded,implementation: address
0x80fe2e6b988e76f37d272c54ae57e49cb3208ab7,EIP-1967: Proxy Beacon Storage Slots,2023,No events,No event data found in ABI
0xf9f988da7d338b64a4caaae0b91e87258630fafc,EIP-1967: Proxy Beacon Storage Slots,2023,AdminChanged,"previousAdmin: address, newAdmin: address"
0xf9f988da7d338b64a4caaae0b91e87258630fafc,EIP-1967: Proxy Beacon Storage Slots,2023,BeaconUpgraded,beacon: address
0xf9f988da7d338b64a4caaae0b91e87258630fafc,EIP-1967: Proxy Beacon Storage Slots,2023,Upgraded,implementation: address
0x967b58e19a20e7e3dc932e478999c97f33487a7f,EIP-1967: Proxy Beacon Storage Slots,2023,No events,No event data found in ABI
0xfe92d6659f4cdf870d9dac4b930f58005a87601d,EIP-1967: Proxy Beacon Storage Slots,2021,No events,No event data found in ABI
0x1b7d27361dc7163a55de5c31e1dd4bb08d793b1b,EIP-1967: Proxy Beacon Storage Slots,2021,No events,No event data found in ABI
0x811730013e801dadd5d1de0542c57aa110af6643,EIP-1967: Proxy Beacon Storage Slots,2021,No events,No event data found in ABI
0x53e305c27444232ebf6712ee361c4906c5e8058a,EIP-1967: Proxy Beacon Storage Slots,2021,No events,No event data found in ABI
0x909c9ae4b1abbe1b07b245b708598c12854ffdf2,EIP-1967: Proxy Beacon Storage Slots,2021,No events,No event data found in ABI
0x87a6f25a05f57f0a4f06844eebd9fb1921da3832,EIP-1967: Proxy Beacon Storage Slots,2021,AdminChanged,"previousAdmin: address, newAdmin: address"
0x87a6f25a05f57f0a4f06844eebd9fb1921da3832,EIP-1967: Proxy Beacon Storage Slots,2021,BeaconUpgraded,beacon: address
0x87a6f25a05f57f0a4f06844eebd9fb1921da3832,EIP-1967: Proxy Beacon Storage Slots,2021,Upgraded,implementation: address
0x436f4eb356ee5b368e06d9284be6a1dafb693efa,EIP-1967: Proxy Beacon Storage Slots,2021,AdminChanged,"previousAdmin: address, newAdmin: address"
0x436f4eb356ee5b368e06d9284be6a1dafb693efa,EIP-1967: Proxy Beacon Storage Slots,2021,BeaconUpgraded,beacon: address
0x436f4eb356ee5b368e06d9284be6a1dafb693efa,EIP-1967: Proxy Beacon Storage Slots,2021,Upgraded,implementation: address
0x80985579b61cbbbd882c752e5fc9d048c5867251,EIP-1967: Proxy Beacon Storage Slots,2021,No events,No event data found in ABI
0x6fe533324c7dfc611f113d680f02a00939dedb94,EIP-1967: Proxy Beacon Storage Slots,2021,No events,No event data found in ABI
0xdf7a2593a70ff1e69b5a20644ae848558a2f7c86,EIP-1967: Proxy Beacon Storage Slots,2021,No events,No event data found in ABI
0x0995e390f3424dc8036652b6d115aa971956a040,EIP-1967: Proxy Beacon Storage Slots,2021,No events,No event data found in ABI
0xec527364a002e5fbe56b8596aa7e60df614047fa,EIP-1967: Proxy Beacon Storage Slots,2021,AdminChanged,"previousAdmin: address, newAdmin: address"
0xec527364a002e5fbe56b8596aa7e60df614047fa,EIP-1967: Proxy Beacon Storage Slots,2021,BeaconUpgraded,beacon: address
0xec527364a002e5fbe56b8596aa7e60df614047fa,EIP-1967: Proxy Beacon Storage Slots,2021,Upgraded,implementation: address
0x42c88f19edbd56d7f2b9014163491fda7b25051d,EIP-1967: Proxy Beacon Storage Slots,2021,No events,No event data found in ABI
0x6930610a612ec16a665de14889c5b3949c1635cc,EIP-1967: Proxy Beacon Storage Slots,2021,No events,No event data found in ABI
0xb32ca105f6cce99074c58b349d095243b6060303,EIP-1967: Proxy Beacon Storage Slots,2021,No events,No event data found in ABI
